Host   Node   Slot  Product  Version   Location
  328   2653   0        TII  105.35    STAMFORD,CT
  328   2653  FF       I2IS   11.33    STAMFORD,CT
  330   4632   1       ACOM    2.03    SAN FRANCISCO,CA
  331  11360   0        TII  105.35    BOULDER CITY,NV
  331  11360  FF       I2IS   11.33    BOULDER CITY,NV
  333  11362   0        TII  105.35    STAMFORD,CT
  333  11362  FF       I2IS   11.33    STAMFORD,CT
  334   2715   3       XCOM  104.03    LIVERMORE,CA
  335  11363   0        TII  105.22    ROCKVILLE,MD
  335  11363  FF       I2IS    7.03    ROCKVILLE,MD
  336  11364  FF       I2IS    7.03    ROCKVILLE,MD
  336  11364   0        TII  105.22    ROCKVILLE,MD
  337  11365   0        TII  105.35    BOULDER CITY,NV
  337  11365  FF       I2IS    7.03    BOULDER CITY,NV
  338   2407   1       CMTI  107.04    BROOKFIELD,WI
  339   2713  FF       I2IS    7.03    NEW YORK,NY
  339   2713   0        TII  105.22    NEW YORK,NY
  340   2111   2       XCOM  104.03    NEW YORK,NY
  341  12322   2       ISCS  106.03    NEW YORK,NY
  342  11360   1       ISCS    6.40    BOULDER CITY,NV
  343   2224   0        TII  105.22    GLEN ELLYN,IL
  343   2224  FF       I2IS    7.04    GLEN ELLYN,IL
  344  10453   1       ISCS  106.03    ROCKVILLE,MD
  345   3136   2       TRSW   12.43    ROCKVILLE,MD
  346   7556   2        XPC  101.05    BOULOGNE,
  347  11363   2       XCOM  104.03    ROCKVILLE,MD
  348   6543   1       XCOM  104.03    DETROIT,MI
  349   7513   1       TRSW   12.43    ROCKVILLE,MD
  350  11337   1       ACOM    0.00    BAMBERG,
  352  12512   1       ACOM    3.01    MIAMI,FL
  353  11367  FF       I2IS    7.03    ROCKVILLE,MD
  353  11367   0        TII  105.22    ROCKVILLE,MD
  354  10553   0        TII  105.35    ABERDEEN,
  354  10553  FF       I2IS    7.03    ABERDEEN,
  355  11112   2       XCOM  104.03    LITTLE ROCK,AR
  357   7136   3       TRSW   12.43    ROCKVILLE,MD
